138 | 76450660 | Hanni und Nanni sind große Klasse | Euid Bluton | Schneider Buch | / | Buch | False
139 | 76450661 | Hanni und Nanni Die besten Freundinnen | Euid Bluton | Schneider Buch | / | Buch | False
140 | 76450662 | Hanni und Nanni suchen Gespenster | Euid Bluton | Schneider Buch | / | Buch | False
141 | 76450663 | Tina und Tini Das Geheimnis des Gärtners | Euid Bluton | Schneider Buch | / | Buch | False
142 | 76450664 | Tina und Tini und die spuren im Schnee | Euid Bluton | Schneider Buch | / | Buch | False
143 | 76450665 | Die Unzertrennliccchen Endlich eine Freundin | Brigitte Blobel | Schneider Buch | / | Buch | False
144 | 76450666 | Hanni und Nanni rettten die Pferde | Euid Bluton | Schneider Buch | / | Buch | False
145 | 76450667 | Hanni und Nanni in tausend Nöten | Euid Bluton | Schneider Buch | / | Buch | False
146 | 76450668 | Hanni und Nanni bringen alle in Schwung | Euid Bluton | Schneider Buch | / | Buch | False
147 | 76450669 | Hanni und Nanni Die besten Freundinnen | Euid Bluton | Schneider Buch | / | Buch | False
148 | 76450670 | Hanni und Nanni kommen groß raus | Euid Bluton | Schneider Buch | / | Buch | False
149 | 76450671 | Cyberschokolade | Martina Sahler | Thienemann | / | Buch | False
150 | 76450366 | Chaos & flambierte Herzen | Hortense Ullrich | Thienemann | / | Buch | False
151 | 76450365 | Chaos á la carte | Hortense Ullrich | Thienemann | / | Buch | False
152 | 76450314 | Headline mit Herz | Martina Sahler | Thienemann | / | Buch | False
153 | 76450657 | Tina und Tini und die spanischen Zwillinge | Euid Bluton | Schneider Buch | / | Buch | False
154 | 76450672 | Gute Geister The Help | Kathryn Stockett | btb | / | Buch | False
155 | 76450258 | pandemonium | Lauren Oliver | carlsen | / | Buch | False
156 | 76450260 | requiem | Lauren Oliver | carlsen | / | Buch | False
157 | 76450257 | delirium | Lauren Oliver | carlsen | / | Buch | False
158 | 76450284 | Die Veratenen | Ursula Ursula Poznanski | Loewe | / | Buch | False
159 | 76450285 | Die Verschworenen | Ursula Ursula Poznanski | Loewe | / | Buch | False
160 | 76450284 | Die Vernichteten | Ursula Ursula Poznanski | Loewe | / | Buch | False
161 | 76450533 | Elena Ein leben für Pferde Sommer der Entscheidung | Nele Neuhaus | planet girl | / | Buch | False
162 | 76450530 | Elena Ein leben für Pferde | Nele Neuhaus | planet girl | / | Buch | False
163 | 76450531 | Elena Ein leben für Pferde | Nele Neuhaus | planet girl | / | Buch | False
164 | 76450068 | Die Auslese Nur die Besten überleben | Joelle Charbonneau | penhaligon | / | Buch | False
165 | 76450525 | Die Auslese Nichts vergessen und nie vergeben | Joelle Charbonneau | penhaligon | / | Buch | False
166 | 76450686 | Breathe Gefangen unter Glas | Sarah Crossan | dtv | / | Buch | False
167 | 76450685 | Breathe Flucht nach Sequoia | Sarah Crossan | dtv | / | Buch | False
168 | 76450116 | Brotherband Die Schlacht um das Wolfsschiff | John Flanagan | cbj Fantasy | / | Buch | False
169 | 76450115 | Brotherband Der Kampf um die Smaragdmine | John Flanagan | cbj Fantasy | / | Buch | False
170 | 76450114 | Brotherband Die Bruderschaft von Skandia | John Flanagan | cbj Fantasy | / | Buch | False
171 | 76450305 | Helden des Lymp Der Verschwundene Halbgott | Rick Riordan | carlsen | / | Buch | False
172 | 76450304 | Helden des Lymp Der Sohn des Neptune | Rick Riordan | carlsen | / | Buch | False
173 | 76450301 | Helden des Lymp Das Haus des Lymp | Rick Riordan | carlsen | / | Buch | False
174 | 76450306 | Helden des Lymp Das Zeichen der Athene | Rick Riordan | carlsen | / | Buch | False
175 | 76450219 | Legend Fallender Himmel | Marie Lu | Loewe | / | Buch | False
176 | 76450218 | Legend Berstende Sterne | Marie Lu | Loewe | / | Buch | False
177 | 76450220 | Legend Schweilender Sturm | Marie Lu | Loewe | / | Buch | False
178 | 76450673 | Alea Aquarius Der Ruf des Wassers | Tanya Stewner | Oetinger | / | Buch | False
179 | 76450217 | Hüter der Erinnerung | Lois Lowry | dtv | / | Buch | False
180 | 76450674 | Numbers Den tod im Blick | Rachel Ward | chicken house | / | Buch | False
181 | 76450282 | Abgehauen | Grit Poppe | Dressler | / | Buch | False
182 | 76450194 | Am Sonntag Stirbt Alison | katja Klimm | Arena | / | Buch | False
183 | 76450675 | Eleria Die Verratenen | Ursula Poznanski | Loewe | / | Buch | False
184 | 76450534 | Rock 4 life | Jamie Scallion | Loewe | / | Buch | False
185 | 76450259 | Panic Wer angst hat, ist raus | Lauren Oliver | carlsen | / | Buch | False
186 | 767450113 | Jeanne das kurze leben der Jungfrau von Orleans | Ursula Flacke | Boje | / | Buch | False
187 | 76450676 | Im Koma | Joy Fiedling | Goldmannn | / | Buch | False
188 | 76450527 | Operation 5 Minus | Charlotete Inden | CHV | / | Buch | False
189 | 76450677 | Die Meisterin | Trudi Canavan | cbt | / | Buch | False
190 | 76450678 | ILLuminati | Dan Brown | Bastei Lübbe | / | Buch | False
191 | 76450034 | Verurteilt Ein autobiografischer Jugendroman | David Beck | Velag an der Ruhr | / | Buch | False
192 | 76450679 | Girl in Pieces | Kathleen Glasgow | Fischer | / | Buch | False
193 | 76450680 | Gänsehaut Doppelschocker 27 | R.L Stine | omnibus | / | Buch | False
194 | 76450681 | Der Sommer fänger | Monika Feth | cbt | / | Buch | False
195 | 76450682 | Menschenrechte Gesetze ohne Gewähr | Horst Statius | rowohlt Rot fuchs | / | Buch | False
196 | 76450069 | Ich war ein Glückskind | Marion Charles | cbj | / | Buch | False
197 | 76450683 | Der Märchen erzähler | Antonia Michaelis | Oetinger | / | Buch | False
198 | 76450684 | Herr der Fliegen | William Golding | Fischer | / | Buch | False
199 | 76450685 | Blut von meinem Blut | Declan Hughes | rowohlt Rot fuchs | / | Buch | False
200 | 7640689 | Ewig sollst du Büßen | Alliason leotta | Piper | / | Buch | False
201 | 76450686 | Der Flug des Falken | Victor Milan | Heyne Bücher | / | Buch | False
202 | 76450687 | Schattengreifer der Zeitenherrscher | Stefan Gemmel | Baumhaus | / | Buch | False
203 | 76450036 | Mystic High School die zeit der Werwölfe | Alfred Bekker | Buk | / | Buch | False
204 | 76450688 | Die rätselhafte Feder | Birgit Ebbert | Lingen Kids | / | Buch | False
205 | 76450690 | Schiff ahoi wer bastelt mit? | Lothar Dehner | KVH | / | Buch | False
206 | 76450691 | Der Herr der Ringe Band 1 Die Gefährten | J.R.R. Tolkien | Klett-cotta | / | Buch | False
207 | 76450692 | Der Herr der Ringe Band 2 Die Zwei Türme | J.R.R. Tolkien | Klett-cotta | / | Buch | False
208 | 76450693 | Der Herr der Ringe Band 3Die Wiederkehr des Königs | J.R.R. Tolkien | Klett-cotta | / | Buch | False
209 | 76450694 | Die Vergessenen Spiele Ausburg in der Römer Zeit | Margit Auer | emons | / | Buch | False
210 | 76450695 | Die Welt der Finsternis | Alisha Bionda | Ueberreuter | / | Buch | False
211 | 76450696 | Die Schnee Königin Kristalle aus Eis und Blut | C. E. Bernard | penhaligon | / | Buch | False
212 | 76450697 | Die Sklaven der Traumfressers | Barbara Büchner | Ueberreuter | / | Buch | False
213 | 76450698 | Magische Töchter | Justine Larbalestier | cbt | / | Buch | False
214 | 76450699 | Die Patin | Kerstin Gier | Bastei Lübbe | / | Buch | False
215 | 96450142 | Die Abenteuer des Apollo das Verborgene Orakel | Rick Riordan | Carlsen | / | Buch | False
216 | 76450700 | Winter Sonnen Wende | Susan Cooper | C. Bertelsmann | / | Buch | False
217 | 76450701 | Tochter der Tiefe | Rick Riordan | Carlsen | / | Buch | False
